MARKET_CODE,MARKET_DESC,STOCK_CODE,STOCK_NAME,FULL_NAME,SHORT_NAME,WEBSITE,UC_NO
2,深A,000523,广州浪奇,广州市浪奇实业股份有限公司,广州浪奇,http://www.lonkey.com.cn,920000007934 
2,深A,000759,中百集团,中百控股集团股份有限公司,中百集团,http://www.whzb.com,920000010029 
2,深A,000776,广发证券,广发证券股份有限公司,广发证券,http://www.gf.com.cn,920000012188 
2,深A,000791,甘肃电投,甘肃电投能源发展股份有限公司,甘肃电投,,920000026124 
2,深A,300418,昆仑万维,北京昆仑万维科技股份有限公司,昆仑万维,http://www.kalends.cn,920000027416 
2,深A,002694,顾地科技,顾地科技股份有限公司,顾地科技,http://www.goody.com.cn/,920000011781 
2,深A,002512,达华智能,中山达华智能科技股份有限公司,达华智能,http://www.twh.com.cn,920000016017 
2,深A,002250,联化科技,联化科技股份有限公司,联化科技,http://www.lianhetech.com,920000019879 
2,深A,002448,中原内配,中原内配集团股份有限公司,中原内配,http://www.hnzynp.com/,920000029661 
2,深A,002385,大北农,北京大北农科技集团股份有限公司,大北农,http://www.dbn.com.cn,920000026193 
2,深A,002186,全聚德,中国全聚德(集团)股份有限公司,全聚德,http://www.quanjude.com.cn,920000016920 
2,深A,300415,伊之密,广东伊之密精密机械股份有限公司,伊之密,http://www.yizumi-group.com,920000062970 
2,深A,300246,宝莱特,广东宝莱特医用科技股份有限公司,宝莱特,http://www.blt.com.cn,920000045822 
2,深A,002067,景兴纸业,浙江景兴纸业股份有限公司,景兴纸业,http://www.jxpaper.com.cn,920000006151 
2,深A,002237,恒邦股份,山东恒邦冶炼股份有限公司,恒邦股份,http://www.hbyl.cn,920000049025 
2,深A,002362,汉王科技,汉王科技股份有限公司,汉王科技,http://www.hanwang.com.cn,920000036115 
2,深A,002044,美年健康,美年大健康产业控股股份有限公司,美年健康,http://www.sanyougroup.com,920000028800 
2,深A,002018,华信国际,安徽华信国际控股股份有限公司,华信国际,http://www.huaxingchem.com,920000033650 
2,深A,002563,森马服饰,浙江森马服饰股份有限公司,森马服饰,http://www.semirbiz.com,920000046511 
2,深A,002489,浙江永强,浙江永强集团股份有限公司,浙江永强,http://www.yotrio.com,920000059190 
2,深A,000407,胜利股份,山东胜利股份有限公司,胜利股份,http://www.vicome.com,920000050571 
2,深A,000411,英特集团,浙江英特集团股份有限公司,英特集团,http://www.intmedic.com,920000053889 
2,深A,000705,浙江震元,浙江震元股份有限公司,浙江震元,http://www.zjzy.com,920000026818 
2,深A,000502,绿景控股,绿景控股股份有限公司,绿景控股,http://www.000502.cn,920000004417 
2,深A,002725,跃岭股份,浙江跃岭股份有限公司,跃岭股份,http://www.yuering.com,920000065050 
2,深A,002286,保龄宝,保龄宝生物股份有限公司,保龄宝,http://www.blb-cn.com,920000031953 
2,深A,002624,完美世界,完美世界股份有限公司,完美世界,http://www.jinlei.com,920000021889 
2,深A,002641,永高股份,永高股份有限公司,永高股份,http://www.yonggao.com、www.era.com.cn,920000044227 
2,深A,002459,天业通联,秦皇岛天业通联重工股份有限公司,天业通联,http://www.tianyetolian.com,920000066135 
2,深A,002471,中超控股,江苏中超控股股份有限公司,中超控股,http://www.zcdlgf.com,920000046852 
2,深A,002810,山东赫达,山东赫达股份有限公司,山东赫达,http://www.sdhead.com,920000047467 
2,深A,002602,世纪华通,浙江世纪华通集团股份有限公司,世纪华通,http://www.sjhuatong.com,920000042849 
2,深A,002655,共达电声,山东共达电声股份有限公司,共达电声,http://www.gettopacoustic.com,920000037361 
2,深A,002645,华宏科技,江苏华宏科技股份有限公司,华宏科技,http://www.hhyyjx.net,920000041093 
