FULL_NAME,WEB_SITE,SHORT_NAME,UC_NO,REGISTER_NO
厦门市高鑫泓股权投资有限公司,,高鑫泓投资,920000006698 ,P1027506
隆成（深圳）资产管理有限公司,,隆成资产,920000020678 ,P1027142
深圳市深国际华章物流产业基金管理有限公司,,深国际华章物流,920000042237 ,P1033958
深圳博腾资本管理有限公司,http://www.bortoncapital.com,博腾资本,920000040859 ,P1011263
淇澳资本投资管理（深圳）有限公司,,淇澳资本投资,920000020029 ,P1034255
上海浆果投资管理有限公司,,浆果投资,920000058044 ,P1022153
上海鼎笠投资中心（有限合伙）,,鼎笠投资,920000038512 ,P1002932
深圳前骧资产管理有限公司,,前骧资产,920000032962 ,P1020125
上海昱辰投资管理有限公司,,昱辰投资,920000042698 ,P1023251
北京太和宝盈投资有限责任公司,,太和宝盈,920000061846 ,P1017277
玖铂资产管理（上海）有限公司,http://www.caijingzk.com,玖铂资产,920000044078 ,P1023238
广州东源资产管理有限公司,http://www.pingan.com,东源资产,920000047948 ,P1003165
广东君心盈泰投资管理有限公司,http://www.jxytfund.com/,君心盈泰,920000001096 ,P1007187
枫树（上海）股权投资基金管理有限公司,,枫树投资,920000051098 ,P1017523
世邦魏理仕海外投资基金管理（上海）有限公司,,世邦魏理仕,920000027894 ,P1021488
广州展泽投资管理有限公司,,展泽投资,920000018892 ,P1034010
深圳一创新天投资管理有限公司,,一创新天,920000002077 ,P1016954
上海德丰杰龙升创业投资管理中心（有限合伙）,http://www.dfjdragon.com,德丰杰龙,920000013349 ,P1001189
湖南高新创投财富管理有限公司,http://www.hhtvccf.com,湖南高新创投,920000056327 ,P1005285
杭州吉威投资管理有限公司,http://www.hzgeway.com,吉威投资,920000056824 ,P1029041
上海国鸣投资管理有限公司,www.gmglobalcapital.com,国鸣,920000023088 ,P1005361
拉萨安超投资管理有限公司,,安超投资,920000042728 ,P1021563
贯古资产管理（天津）有限公司,,贯古资产,920000042663 ,P1030079
北京典石投资有限公司,http://www.ds-sino.com,北京典石投资,920000060437 ,P1017955
上海丰杉投资管理有限公司,,丰杉投资,920000013036 ,P1034015
深圳羿拓榕杨资产管理有限公司,,羿拓榕杨,920000042796 ,P1024919
杭州立磐投资管理有限公司,,立磐投资,920007902581 ,P1060363
上海沱水资产管理有限公司,,沱水资产,920000058895 ,P1016815
上海涌铧投资管理有限公司,http://www.yonghuacapital.com.cn,涌铧投资,920000003276 ,P1003507
南京祥运和投资管理有限公司,,祥运和投资,920000021115 ,P1012526
仟上投资管理（北京）有限公司,,,920007902177 ,P1061090
金富资本管理（深圳）有限公司,,,,P1030952
深圳市石浦投资有限公司,,石浦投资,920000059047 ,P1014357
北京苏商基金管理有限责任公司,,苏商基金,920000048869 ,P1031674
太仓东源信诺投资管理中心（有限合伙）,,,920007902543 ,P1061142
贝信（嘉兴）投资有限公司,,,920007902823 ,P1060808
广东凯鼎投资有限公司,http://www.kaiding-capital.com,凯鼎投资,920000019454 ,P1001303
启明维创股权投资管理（上海）有限公司,http://www.qimingventures.com/,上海启明维创,920000045584 ,P1002845
北京鼎金世纪投资管理有限公司,http://www.dingjintz.com,鼎金世纪,920000049571 ,P1011210
深圳朝廷资本管理有限公司,,朝廷资本,920000061233 ,P1015031
北京中原舜祥资产管理有限公司,,中原舜祥,920000049400 ,P1019566
嘉兴信业宏益投资管理有限公司,,信业宏益,920000064366 ,P1014187
深圳弘一资本管理有限公司,,弘一资本,920000060831 ,P1034319
芝麻资本管理有限公司,,,920000038467 ,P1060183
蚌埠市育珠投资基金管理有限公司,,育珠投资,920007902544 ,P1060342
深圳市太古资产管理有限公司,,,920007902066 ,P1061160
苏州兴鸿盛投资管理有限公司,,,920007902340 ,P1060957
浙江德诺资本管理合伙企业（有限合伙）,,浙江德诺资本,920000196967 ,P1061514
杭州一起创资本管理有限公司,,,,P1061389
上海富田股权投资基金管理有限公司,,,,P1003425
上海证大大拇指投资管理有限公司,,上海证大大拇指,920000060593 ,P1005937
厦门万嘉盛华投资管理有限公司,,万嘉盛华,920000050142 ,P1024154
深圳诺信达基金管理有限公司,,诺信达基金,920000021672 ,P1032378
东霖钜盛（北京）投资有限公司,,东霖钜盛,920000032916 ,P1033267
深圳市前海星辰投资管理有限公司,http://www.sinochant.com,前海星辰投资,920000021451 ,P1032058
上海相线投资管理有限公司,,相线投资,920000010295 ,P1020617
新余华普资产管理有限公司,,华普资产,920000055806 ,P1020789
中国风险投资有限公司,www.c-vc.com.cn,中国风投,920000013897 ,P1001351
浙江实地投资咨询有限公司,,浙江实地投资,920000005671 ,P1009820
欣烨富华（北京）资产管理有限公司,,欣烨富华,920000035125 ,P1012539
南京中乾融投股权投资基金管理有限公司,,中乾融投,920000007243 ,P1022533
华盖鼎盛投资管理（北京）有限公司,,,920007902321 ,P1010382
广州金字塔投资管理有限公司,,金字塔投资,920000008439 ,P1018957
北京复朴道和投资管理有限公司,http://www.fellowcap.com,复朴道和,920000063058 ,P1024467
武汉圣丰投资管理有限公司,,圣丰投资,920000054060 ,P1014586
南通标和投资管理有限公司,,标和投资,920000003326 ,P1018054
北京中海弘誉投资管理中心（有限合伙）,,中海弘誉,920000049156 ,P1001905
福州启运投资管理有限公司,,启运投资,920000057790 ,P1024276
上海华玺股权投资基金有限公司,,上海华玺,920000011132 ,P1023146
北京华信标准资本管理中心（有限合伙）,,华信标准,920000022026 ,P1024758
中能创展投资管理有限公司,,中能创展,920000030310 ,P1023417
上海筑金投资有限公司,www.capstone-invest.com,筑金投资,920000023051 ,P1009546
深圳市滨海基金管理有限公司,www.binhaicf.com,滨海基金,920000017453 ,P1003581
深圳前海飞尚投资管理有限公司,,飞尚投资,920000027743 ,P1028504
珠海舍予投资管理有限公司,,舍予投资,920000063146 ,P1028862
上海前颢资产管理有限公司,,前颢资产,920000009163 ,P1017114
河南睿达资产管理中心（有限合伙）,http://www.henanruida.com,河南睿达资产,920000007645 ,P1019992
宁波市嘉诚投资有限公司,,宁波市嘉诚投资,920000058890 ,P1014617
北京广泰资产管理有限公司,,广泰资产,920000036460 ,P1013165
福琪股权投资管理有限公司,,福琪投资,920000039452 ,P1032409
中汇国控（北京）投资基金管理有限公司,,中汇国控,920000049193 ,P1016846
新余观复投资管理有限公司,,新余观复,920000055990 ,P1004018
广东质子资产管理有限公司,,质子资产,920000027124 ,P1023406
上海旭势投资管理有限公司,,旭势投资,920000017066 ,P1026674
天津奇虎和盛股权投资管理合伙企业（有限合伙）,,奇虎和盛,920000037321 ,P1029855
深圳市迈达斯股权投资基金管理有限公司,cn.dmidas.com,迈达斯投资,920000026527 ,P1010751
浙江丰诺投资管理有限公司,,丰诺投资,920000041055 ,P1024015
中金汇理资产管理有限公司,http://www.sinoif.com,中金汇理,920000036950 ,P1019551
武汉晟道创业投资基金管理有限公司,,晟道创投,920000015251 ,P1010720
杭州探融投资管理有限公司,,探融投资,920000016844 ,P1032083
广东瑞信投资有限公司,,广东瑞信投资,920000040421 ,P1015801
河北融海股权投资基金管理有限公司,,融海投资,920000034862 ,P1020387
上海珈南资产管理有限公司,http://www.珈南资本.com,珈南资产,920000045365 ,P1002672
数米金融服务（深圳）股份有限公司,,数米金融,920000020160 ,P1018716
江苏鼎犇瀚涵投资基金管理有限公司,,鼎犇瀚涵,920000003688 ,P1013127
上海微道投资管理有限公司,,微道投资,920000044437 ,P1017648
金圆资本管理（厦门）有限公司,,金圆资本,920000029264 ,P1001636
合肥市学美投资管理有限公司,http://www.xuemeifund.com,学美投资,920000005815 ,P1010717
北京信和合缘投资基金管理有限公司,,,,P1009244
